NOUN, ADJ, 
morning, Good, 👌👌👌¯\_(ツ)_/¯💗✉✉💗✉✉💗 💗✉✉💗✉✉✉ 💗💗💗💗✉✉💗 💗✉✉💗✉✉💗 💗✉✉💗✉✉💗 💝💝 💝💝 💝🍡🍡💝🍡🍡💝 💝🍡🍡🍡🍡🍡💝 💝 Miss you! 💝 💝🍡🍡🍡💝 💝🍡💝 💝⏰⏰⏰⏰⏰⏰⏰ ☕Good morning☕ ☕ ☀👦 ☕ ☕ 👋👕🍎 ☕ ☕ 👖 ☕ ☕ 👟👟 ☕ ⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰ ☕Good morning☕ ☕ ☀👦 ☕ ☕ 👋👕🍎 ☕ ☕ 👖 ☕ ☕ 👟👟 ☕ ⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰ ☕Good morning☕ ☕ ☀👦 ☕ ☕ 👋👕🍎 ☕ ☕ 👖 ☕
morning, Good, 👌👌👌¯\_(ツ)_/¯💗✉✉💗✉✉💗 💗✉✉💗✉✉✉ 💗💗💗💗✉✉💗 💗✉✉💗✉✉💗 💗✉✉💗✉✉💗 💝💝 💝💝 💝🍡🍡💝🍡🍡💝 💝🍡🍡🍡🍡🍡💝 💝 Miss you! 💝 💝🍡🍡🍡💝 💝🍡💝 💝⏰⏰⏰⏰⏰⏰⏰ ☕Good morning☕ ☕ ☀👦 ☕ ☕ 👋👕🍎 ☕ ☕ 👖 ☕ ☕ 👟👟 ☕ ⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰ ☕Good morning☕ ☕ ☀👦 ☕ ☕ 👋👕🍎 ☕ ☕ 👖 ☕ ☕ 👟👟 ☕ ⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰ ☕Good morning☕ ☕ ☀👦 ☕ ☕ 👋👕🍎 ☕ ☕ 👖 ☕
game, Rare, Rare game
game, Nice, Nice game
game, great, great game
killer, Nice, Nice time killer
game, great, This is such a great game for you ninjas to fight E vil zombies and demons with character' like Ashely and Noah and such.asome game keep up the good work goggle play
play, good, This is such a great game for you ninjas to fight E vil zombies and demons with character' like Ashely and Noah and such.asome game keep up the good work goggle play
hero, new, I love this game . But how to get new hero's
game, nice, Very nice game
game, Good, Good game
game, good, Very good game 👍👍
nvm, fixed, Oh its fixed nvm
game, Dear, Dear game you made a new hero pls launch it
hero, new, Dear game you made a new hero pls launch it
game, Super, Super game
game, Nice, Nice game
game, nice, nice game but... not great game as I think
game, great, nice game but... not great game as I think
😎, Super, Super game 😎
animations, Good, I would rate it 5 stars cause this game has Good animations and heroes ability and variety of weapons Good game
game, Good, I would rate it 5 stars cause this game has Good animations and heroes ability and variety of weapons Good game
game, amazing, loved it... amazing game
community, little, too expensive, buggy, laggy and the dev doesn't even care to compensate for the issues. no wonder they have very little community in facebook. this game is not worth a penny more likely a dead game. playstore should discontinue this game
game, dead, too expensive, buggy, laggy and the dev doesn't even care to compensate for the issues. no wonder they have very little community in facebook. this game is not worth a penny more likely a dead game. playstore should discontinue this game
problem, only, This Game is very best but the only problem is when I open premium weapon chest I get legendary but the weapon is for other that need to buy pls make chest only drop weapon for our hero. and this game is pay2win
chest, premium, This Game is very best but the only problem is when I open premium weapon chest I get legendary but the weapon is for other that need to buy pls make chest only drop weapon for our hero. and this game is pay2win
saya, Nepali, Nepali saya the class going on maam thank you send me a j is best for you send the link Sorry for a j is today I have been in a realm and the class going on maam thank you for
game, Lovely, Lovely 🌹🌹 game
game, 🌹, Lovely 🌹🌹 game
game, good, good game
game, nice, nice game
job, satisfied, This gave me very satisfied Good job
job, Good, This gave me very satisfied Good job
game, good, good game
game, Best, Best game for time pass
time, long, I'm playing a long time now, and I wanted to see bigger variations of skins affordable with quests, daily achievement s or something else, like shards. An interesting thing would be to have new skills or classes for each character, so we can customize a little more, being less repetitive in itself. Overall excellent game!
variations, bigger, I'm playing a long time now, and I wanted to see bigger variations of skins affordable with quests, daily achievement s or something else, like shards. An interesting thing would be to have new skills or classes for each character, so we can customize a little more, being less repetitive in itself. Overall excellent game!
skins, affordable, I'm playing a long time now, and I wanted to see bigger variations of skins affordable with quests, daily achievement s or something else, like shards. An interesting thing would be to have new skills or classes for each character, so we can customize a little more, being less repetitive in itself. Overall excellent game!
thing, interesting, I'm playing a long time now, and I wanted to see bigger variations of skins affordable with quests, daily achievement s or something else, like shards. An interesting thing would be to have new skills or classes for each character, so we can customize a little more, being less repetitive in itself. Overall excellent game!
skills, new, I'm playing a long time now, and I wanted to see bigger variations of skins affordable with quests, daily achievement s or something else, like shards. An interesting thing would be to have new skills or classes for each character, so we can customize a little more, being less repetitive in itself. Overall excellent game!
game, Overall, I'm playing a long time now, and I wanted to see bigger variations of skins affordable with quests, daily achievement s or something else, like shards. An interesting thing would be to have new skills or classes for each character, so we can customize a little more, being less repetitive in itself. Overall excellent game!
game, excellent, I'm playing a long time now, and I wanted to see bigger variations of skins affordable with quests, daily achievement s or something else, like shards. An interesting thing would be to have new skills or classes for each character, so we can customize a little more, being less repetitive in itself. Overall excellent game!
money, real, Game is super awesome. but can you it where the knight's that cost real money are obtaineable in the game by buying them with gems or gold please?
game, Best, Best rpg game
game, nice, Very nice game
mine, cristal, you should increase daily dungeon reward specially cristal mine and armoury dungeon
game, Super, Super game Vera level
game, Amazing, Amazing shadow fight game I ever seen
GAME, GOOD, GOOD GAME
game, good, this is a fun, time killing, and good game
game, super, super game
game, exelent, This is an exelent game The heroes skills and graphics are great!! Please keep adding more and more new heroes i am waiting for them
heroes, more, This is an exelent game The heroes skills and graphics are great!! Please keep adding more and more new heroes i am waiting for them
idk, good, Very good game idk if it's worth 1$
game, best, This is the best game of 2021 (for me) I just playing this game a lot . Please I like to play other hero's in this game please make it free or we need to get money ( game money) thank you. 27 September is my birthday 🎂
hero, other, This is the best game of 2021 (for me) I just playing this game a lot . Please I like to play other hero's in this game please make it free or we need to get money ( game money) thank you. 27 September is my birthday 🎂
problem, connecting, This is cool do something about the game connecting problem.
game, boring, boring😑 game
game, 😑, boring😑 game
heroes, more, This game is so cool I love the effects and all but what is the difference between the game and the premium one? Also how to get more heroes? Also fix the grammar of the game I'm not saying its bad so yeah can you please answer my questions
game, Wonderful, Wonderful game
characters, other, This game is fun but should be easier to get other characters. Also I lost all my data for some reason can you please help?
game, cool, such a cool game it is really good I can't recommend this enough
game, super, It's a super game but I didn't have powerful character and bundle so please send me atleast one character and bundle
character, powerful, It's a super game but I didn't have powerful character and bundle so please send me atleast one character and bundle
character, atleast, It's a super game but I didn't have powerful character and bundle so please send me atleast one character and bundle
game, cool, Very cool game but there is a problem or a glitch you can say like when 1 started the game I have 2 characters and when I go to hero's section then the 3rd and 4th characters were free but when I restarted the game and completed till 2-1 then in the hero sec. It shows that I have to buy them. Pls fix this or tell me this is my misunderstanding.
characters, 3rd, Very cool game but there is a problem or a glitch you can say like when 1 started the game I have 2 characters and when I go to hero's section then the 3rd and 4th characters were free but when I restarted the game and completed till 2-1 then in the hero sec. It shows that I have to buy them. Pls fix this or tell me this is my misunderstanding.
game, good, this is a very good game
bugs, many, It is good, but it has too many bugs like reconnecting is happening too often
thanks, lol, lol free thanks
thanks, free, lol free thanks
thanks, many, When there was a fee I couldn't play but now there aren't many thanks its so good...
game, Bad, Bad game
game, awesome, awesome game every thingyou need in a game
game, best, best game ever.. I love it
game, amazing, amazing game
game, good, Hi I am Justin it is a very good game because I am a find a game and I have a sea a game and I have Download this game and play this game it is op and I have like this game😎
app, good, a very good app for PvP games and as
game, best, the game I had aver played best game :)
game, good, very good game but when I got new hero
hero, new, very good game but when I got new hero
game, online, If I had know that this was an online game then I wouldn't even have bothered downloading this thing even if it's free. Uninstalling it ASAP
game, nice, Very nice game
game, nice, nice game
game, Bad, Bad game 😞
app, nice, Very nice app for me
game, super, super game
game, Super, Super game
game, Nice, Nice game
game, Best, Best game ever I seen 👌
game, nice, nice game
game, Great, Great game But I just wanna ask what is the difference between the regular and this premium??
game, good, good game
effects, nice, nice sound effects
game, Nice, Nice game
game, good, good game I appreciate that work and animation I hope this game get an new update and developer I support you👍❤👍
update, new, good game I appreciate that work and animation I hope this game get an new update and developer I support you👍❤👍
game, good, Really good game.
iseen, Fantastic, Fantastic iseen really graphics nice if you add extra graphics and sound effects the best experience I will see in this game
graphics, extra, Fantastic iseen really graphics nice if you add extra graphics and sound effects the best experience I will see in this game
experience, best, Fantastic iseen really graphics nice if you add extra graphics and sound effects the best experience I will see in this game
game, good, I wanna say that this is a very good game but i dont know that why i cant download in another phones . I cant see the game in my another phones
play, nice, nice play offline for play
game, good, really good game
feature, more, This app is cool its more feature then the normal my 15 is so useful for a fun in this game this game is cool but my dad said its violence i cant play it so i deleted it pls tell how to refund :(
graphics, new, Power take aim is this but I this graphic is so bad but please create new graphics please
️, 🖤, 🔥💥🏹🥀🖤🎙️
game, nice, nice game
game, best, it is the best game forever
game, Super, Super game
gema, nic, nic gema
buy, good, Who all are playing free fire bro this game is good buy not than free fire 😊😊😊
fire, free, Who all are playing free fire bro this game is good buy not than free fire 😊😊😊
game, good, It is very very very very very very very very very very very very very very very very good game I ma very love this game
game, Nice, Nice game
game, super, super game in the world
game, best, It is a very best game we are enjoy this game thank you
game, Good, Good game
gamer, gamer, Atif gamer zaid gamer gamer Pro gamer minecraft-1-16-20 free fire 🔥🚒
gamer, Pro, Atif gamer zaid gamer gamer Pro gamer minecraft-1-16-20 free fire 🔥🚒
fire, free, Atif gamer zaid gamer gamer Pro gamer minecraft-1-16-20 free fire 🔥🚒
game, Nice, Nice game
months, last, Thanks for sale I was waiting from last 2 months. Thank you so much
game, Nice, Nice game
😄, great, :) great🕶🕶🕶🕶🕶🕶🕶🕶😄👑
😄, 🕶, :) great🕶🕶🕶🕶🕶🕶🕶🕶😄👑
game, best, best game ever
game, nice, Simple yet nice game to play
game, best, I think this is best game
bhia, much, Thank you so much bhia
game, nice, nice game
game, Best, Best fighting game
game, super, super game I like this
game, offline, Plz make the offline game like this when my network ends I can't play it and by wifi connection its game play is smooth very nice but the enemie becomes larger and stronger and the number of enemie is increased but this game is very nice
game, cool, Spent close to $20 on the game buying characters, costumes etc cause it's a cool game. I go to play today and everything is reset. My purchases are gone and I'm starting right at the very beginning. Sucks cause I was pretty far in the game
beginning, very, Spent close to $20 on the game buying characters, costumes etc cause it's a cool game. I go to play today and everything is reset. My purchases are gone and I'm starting right at the very beginning. Sucks cause I was pretty far in the game
game, nice, Kinda nice game but ... Add more characters and also make a game like gta btw kinda nice game 🙂 👍👍 want a reply ..
characters, more, Kinda nice game but ... Add more characters and also make a game like gta btw kinda nice game 🙂 👍👍 want a reply ..
game, good, good nice game...easy n smooth.....great work
game, nice, good nice game...easy n smooth.....great work
game, easy, good nice game...easy n smooth.....great work
work, great, good nice game...easy n smooth.....great work
game, nice, nice game, enjoyable
game, enjoyable, nice game, enjoyable
game, Best, Best game
game, nice, nice game love it
form, free, Supper i got it for free form the sale
ooooookuta, new, Jfnkm no ofejrceucne This is a new language ooooookuta
game, Good, Good game is this
game, nice, It is a nice Ninja warrior game
game, Ninja, It is a nice Ninja warrior game
game, Online, Online game not offline and waste of data
power, own, Game is good but add some costume charcherts that have thier own power that we can make
improvement, more, this game is good but their should be more improvement on graphics
